"","date","type","code","mid"
"408","2014/1/3","index","USDX",80.87
"409","2014/1/6","index","USDX",80.68
"410","2014/1/7","index","USDX",80.85
"411","2014/1/8","index","USDX",81.07
"412","2014/1/9","index","USDX",80.94
"413","2014/1/10","index","USDX",80.63
"414","2014/1/13","index","USDX",80.53
"415","2014/1/14","index","USDX",80.64
"416","2014/1/15","index","USDX",80.99
"417","2014/1/16","index","USDX",80.91
"418","2014/1/17","index","USDX",81.19
"419","2014/1/20","index","USDX",81.11
"420","2014/1/21","index","USDX",81.08
"421","2014/1/22","index","USDX",81.2
"422","2014/1/23","index","USDX",80.44
"423","2014/1/24","index","USDX",80.47
"424","2014/1/27","index","USDX",80.48
"425","2014/1/28","index","USDX",80.57
"426","2014/1/29","index","USDX",80.53
"427","2014/1/30","index","USDX",81.05
"428","2014/2/7","index","USDX",80.67
"429","2014/2/10","index","USDX",80.65
"430","2014/2/11","index","USDX",80.63
"431","2014/2/12","index","USDX",80.69
"432","2014/2/13","index","USDX",80.3
"433","2014/2/14","index","USDX",80.15
"434","2014/2/17","index","USDX",80.13
"435","2014/2/18","index","USDX",80.01
"436","2014/2/19","index","USDX",80.19
"437","2014/2/20","index","USDX",80.28
"438","2014/2/21","index","USDX",80.27
"439","2014/2/24","index","USDX",80.22
"440","2014/2/25","index","USDX",80.14
"441","2014/2/26","index","USDX",80.41
"442","2014/2/27","index","USDX",80.28
"443","2014/2/28","index","USDX",79.78
"444","2014/3/3","index","USDX",80.07
"445","2014/3/4","index","USDX",80.13
"446","2014/3/5","index","USDX",80.09
"447","2014/3/6","index","USDX",79.67
"448","2014/3/7","index","USDX",79.71
"449","2014/3/10","index","USDX",79.74
"450","2014/3/11","index","USDX",79.79
"451","2014/3/12","index","USDX",79.62
"452","2014/3/13","index","USDX",79.58
"453","2014/3/14","index","USDX",79.41
"454","2014/3/17","index","USDX",79.4
"455","2014/3/18","index","USDX",79.37
"456","2014/3/19","index","USDX",80.05
"457","2014/3/20","index","USDX",80.19
"458","2014/3/21","index","USDX",80.13
"459","2014/3/24","index","USDX",79.94
"460","2014/3/25","index","USDX",80.03
"461","2014/3/26","index","USDX",80.02
"462","2014/3/27","index","USDX",80.15
"463","2014/3/28","index","USDX",80.19
"464","2014/3/31","index","USDX",80.11
"465","2014/4/1","index","USDX",80.08
"466","2014/4/2","index","USDX",80.23
"467","2014/4/3","index","USDX",80.46
"468","2014/4/4","index","USDX",80.44
"469","2014/4/8","index","USDX",79.78
"470","2014/4/9","index","USDX",79.52
"471","2014/4/10","index","USDX",79.41
"472","2014/4/11","index","USDX",79.49
"473","2014/4/14","index","USDX",79.76
"474","2014/4/15","index","USDX",79.79
"475","2014/4/16","index","USDX",79.82
"476","2014/4/17","index","USDX",79.85
"477","2014/4/18","index","USDX",79.88
"478","2014/4/21","index","USDX",79.95
"479","2014/4/22","index","USDX",79.9
"480","2014/4/23","index","USDX",79.87
"481","2014/4/24","index","USDX",79.79
"482","2014/4/25","index","USDX",79.76
"483","2014/4/28","index","USDX",79.71
"484","2014/4/29","index","USDX",79.81
"485","2014/4/30","index","USDX",79.53
"486","2014/5/5","index","USDX",79.51
"487","2014/5/6","index","USDX",79.15
"488","2014/5/7","index","USDX",79.23
"489","2014/5/8","index","USDX",79.45
"490","2014/5/9","index","USDX",79.87
"491","2014/5/12","index","USDX",79.89
"492","2014/5/13","index","USDX",80.12
"493","2014/5/14","index","USDX",80.06
"494","2014/5/15","index","USDX",80.03
"495","2014/5/16","index","USDX",80.06
"496","2014/5/19","index","USDX",80.03
"497","2014/5/20","index","USDX",80.05
"498","2014/5/21","index","USDX",80.08
"499","2014/5/22","index","USDX",80.22
"500","2014/5/23","index","USDX",80.38
"501","2014/5/26","index","USDX",80.29
"502","2014/5/27","index","USDX",80.37
"503","2014/5/28","index","USDX",80.56
"504","2014/5/29","index","USDX",80.49
"505","2014/5/30","index","USDX",80.39
"506","2014/6/3","index","USDX",80.54
"507","2014/6/4","index","USDX",80.66
"508","2014/6/5","index","USDX",80.35
"509","2014/6/6","index","USDX",80.43
"510","2014/6/9","index","USDX",80.63
"511","2014/6/10","index","USDX",80.81
"512","2014/6/11","index","USDX",80.77
"513","2014/6/12","index","USDX",80.59
"514","2014/6/13","index","USDX",80.61
"515","2014/6/16","index","USDX",80.44
"516","2014/6/17","index","USDX",80.61
"517","2014/6/18","index","USDX",80.4
"518","2014/6/19","index","USDX",80.33
"519","2014/6/20","index","USDX",80.34
"520","2014/6/23","index","USDX",80.27
"521","2014/6/24","index","USDX",80.32
"522","2014/6/25","index","USDX",80.21
"523","2014/6/26","index","USDX",80.21
"524","2014/6/27","index","USDX",80.02
"525","2014/6/30","index","USDX",79.79
"526","2014/7/1","index","USDX",79.82
"527","2014/7/2","index","USDX",79.95
"528","2014/7/3","index","USDX",80.21
"529","2014/7/4","index","USDX",80.28
"530","2014/7/7","index","USDX",80.21
"531","2014/7/8","index","USDX",80.18
"532","2014/7/9","index","USDX",80.09
"533","2014/7/10","index","USDX",80.12
"534","2014/7/11","index","USDX",80.19
"535","2014/7/14","index","USDX",80.17
"536","2014/7/15","index","USDX",80.38
"537","2014/7/16","index","USDX",80.54
"538","2014/7/17","index","USDX",80.51
"539","2014/7/18","index","USDX",80.54
"540","2014/7/21","index","USDX",80.56
"541","2014/7/22","index","USDX",80.78
"542","2014/7/23","index","USDX",80.8
"543","2014/7/24","index","USDX",80.87
"544","2014/7/25","index","USDX",81.05
"545","2014/7/28","index","USDX",81
"546","2014/7/29","index","USDX",81.21
"547","2014/7/30","index","USDX",81.42
"548","2014/7/31","index","USDX",81.46
"549","2014/8/1","index","USDX",81.31
"550","2014/8/4","index","USDX",81.32
"551","2014/8/5","index","USDX",81.54
"552","2014/8/6","index","USDX",81.42
"553","2014/8/7","index","USDX",81.53
"554","2014/8/8","index","USDX",81.4
"555","2014/8/11","index","USDX",81.46
"556","2014/8/12","index","USDX",81.51
"557","2014/8/13","index","USDX",81.61
"558","2014/8/14","index","USDX",81.6
"559","2014/8/15","index","USDX",81.43
"560","2014/8/18","index","USDX",81.58
"561","2014/8/19","index","USDX",81.89
"562","2014/8/20","index","USDX",82.25
"563","2014/8/21","index","USDX",82.16
"564","2014/8/22","index","USDX",82.33
"565","2014/8/25","index","USDX",82.58
"566","2014/8/26","index","USDX",82.67
"567","2014/8/27","index","USDX",82.46
"568","2014/8/28","index","USDX",82.49
"569","2014/8/29","index","USDX",82.72
"570","2014/9/1","index","USDX",82.78
"571","2014/9/2","index","USDX",82.97
"572","2014/9/3","index","USDX",82.86
"573","2014/9/4","index","USDX",83.84
"574","2014/9/5","index","USDX",83.76
"575","2014/9/9","index","USDX",84.14
"576","2014/9/10","index","USDX",84.23
"577","2014/9/11","index","USDX",84.24
"578","2014/9/12","index","USDX",84.16
"579","2014/9/15","index","USDX",84.24
"580","2014/9/16","index","USDX",84.08
"581","2014/9/17","index","USDX",84.75
"582","2014/9/18","index","USDX",84.27
"583","2014/9/19","index","USDX",84.79
"584","2014/9/22","index","USDX",84.71
"585","2014/9/23","index","USDX",84.7
"586","2014/9/24","index","USDX",85.07
